,sidx,idx_strs,pargp9,parval1_9,9
0,"(8, 8, 15)",idx0:8_idx1:8_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
1,"(22, 22, 15)",idx0:22_idx1:22_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
2,"(15, 15, 15)",idx0:15_idx1:15_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
3,"(31, 31, 15)",idx0:31_idx1:31_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
4,"(9, 9, 15)",idx0:9_idx1:9_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
5,"(21, 21, 15)",idx0:21_idx1:21_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
6,"(16, 16, 15)",idx0:16_idx1:16_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
7,"(30, 30, 15)",idx0:30_idx1:30_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
8,"(23, 23, 15)",idx0:23_idx1:23_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
9,"(32, 32, 15)",idx0:32_idx1:32_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
10,"(11, 11, 15)",idx0:11_idx1:11_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
11,"(19, 19, 15)",idx0:19_idx1:19_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
12,"(17, 17, 15)",idx0:17_idx1:17_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
13,"(29, 29, 15)",idx0:29_idx1:29_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
14,"(24, 24, 15)",idx0:24_idx1:24_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
15,"(33, 33, 15)",idx0:33_idx1:33_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
16,"(38, 38, 15)",idx0:38_idx1:38_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
17,"(4, 4, 15)",idx0:4_idx1:4_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
18,"(2, 2, 15)",idx0:2_idx1:2_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
19,"(25, 25, 15)",idx0:25_idx1:25_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
20,"(37, 37, 15)",idx0:37_idx1:37_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
21,"(27, 27, 15)",idx0:27_idx1:27_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
22,"(35, 35, 15)",idx0:35_idx1:35_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
23,"(10, 10, 15)",idx0:10_idx1:10_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
24,"(12, 12, 15)",idx0:12_idx1:12_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
25,"(18, 18, 15)",idx0:18_idx1:18_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
26,"(20, 20, 15)",idx0:20_idx1:20_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
27,"(0, 0, 15)",idx0:0_idx1:0_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
28,"(14, 14, 15)",idx0:14_idx1:14_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
29,"(13, 13, 15)",idx0:13_idx1:13_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
30,"(1, 1, 15)",idx0:1_idx1:1_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
31,"(6, 6, 15)",idx0:6_idx1:6_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
32,"(26, 26, 15)",idx0:26_idx1:26_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
33,"(28, 28, 15)",idx0:28_idx1:28_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
34,"(34, 34, 15)",idx0:34_idx1:34_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
35,"(36, 36, 15)",idx0:36_idx1:36_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
36,"(5, 5, 15)",idx0:5_idx1:5_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
37,"(7, 7, 15)",idx0:7_idx1:7_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
38,"(39, 39, 15)",idx0:39_idx1:39_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
39,"(3, 3, 15)",idx0:3_idx1:3_idx2:15,sfrcond_cn,1.0,1.719620717093102379990909867046866565942764282226562500
